N,min_poission_rate,if_sum_angles_zero,if_symmetric,if_negative_symmetric,if_abs_symmetric,num_different_abs_angles
2,0.05091963452329938,1.0,0.0,1.0,1.0,1.0
3,-0.312811805108479,0.0,1.0,0.0,1.0,2.0
4,-0.3367262858062808,1.0,1.0,0.0,1.0,1.0
5,-0.3284938774958902,0.0,1.0,0.0,1.0,2.0
6,-0.3346727571688489,1.0,0.0,1.0,1.0,3.0
7,-0.33257608719707743,0.0,0.8333333333333334,0.0,0.8333333333333334,2.0
8,-0.3367262823207965,1.0,0.8333333333333334,0.16666666666666666,1.0,1.0
9,-0.3342279090127298,0.0,0.5833333333333334,0.0,0.9166666666666666,2.0
10,-0.33647822426098356,1.0,0.0,1.0,1.0,5.083333333333333
11,-0.33505792977392745,0.0,0.4166666666666667,0.0,1.0,2.0
12,-0.3367262596524599,1.0,0.25,0.0,1.0,1.0
13,-0.33553345833528103,0.0,0.25,0.0,1.0,2.0
14,-0.3366623086752567,1.0,0.0,0.16666666666666666,1.0,5.5
15,-0.33583111512522146,0.0,0.08333333333333333,0.0,1.0,2.0
16,-0.33672621332839847,1.0,0.16666666666666666,0.0,1.0,1.0
17,-0.33602967951183166,0.0,0.08333333333333333,0.0,1.0,2.0
18,-0.33670236432137024,1.0,0.0,0.0,1.0,3.75
19,-0.33614524129789347,0.0,0.0,0.0,1.0,2.1666666666666665
20,-0.3367260759245893,1.0,0.0,0.0,1.0,1.4166666666666667
