,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,poisson_rate,total_time
0,-23.7,25.2,25.0,-24.2,-24.4,24.4,24.2,-25.0,-25.2,23.6,-0.33647730501183837,499.69
1,-23.6,25.2,25.0,-24.2,-24.4,24.4,24.2,-25.0,-25.2,23.6,-0.3364773141227051,499.69
2,23.6,-25.2,-25.0,24.2,24.4,-24.4,-24.2,25.0,25.2,-23.6,-0.33647732610533887,499.69
3,23.6,-25.2,-25.0,24.2,24.4,-24.4,-24.2,25.0,25.2,-23.6,-0.33647740496770956,499.69
4,-23.6,25.2,25.0,-24.2,-24.4,24.4,24.2,-25.0,-25.2,23.6,-0.33647742905057365,499.69
5,25.5,-23.8,-24.0,24.9,-24.4,24.5,-24.8,24.0,23.8,-25.4,-0.33647818474366803,499.69
6,25.4,-23.9,-24.1,24.8,-24.5,24.4,-24.8,24.0,23.8,-25.4,-0.3364783202924587,499.69
7,25.4,-23.8,-24.0,24.8,-24.5,24.4,-24.8,24.0,23.8,-25.4,-0.3364783483388795,499.69
8,25.4,-23.9,-24.1,24.8,-24.4,24.4,-24.8,24.0,23.8,-25.4,-0.33647844207432803,499.69
9,-25.4,23.8,24.0,-24.8,24.4,-24.4,24.9,-24.0,-23.8,25.5,-0.3364784793250478,499.69
10,-25.4,23.9,24.1,-24.8,24.5,-24.4,24.8,-24.0,-23.8,25.4,-0.3364784803202589,499.69
11,25.4,-23.8,-24.0,24.8,-24.4,24.4,-24.8,24.1,23.9,-25.4,-0.3364785441690902,499.69
12,-25.4,23.8,24.0,-24.8,24.4,-24.4,24.8,-24.1,-23.9,25.4,-0.3364785570810856,499.69
13,25.4,-23.8,-24.0,24.8,-24.4,24.4,-24.8,24.0,23.8,-25.4,-0.33647856981323504,499.69
14,25.4,-23.8,-24.0,24.8,-24.4,24.4,-24.8,24.1,23.8,-25.4,-0.3364785864235105,499.69
15,-25.4,23.8,24.0,-24.8,24.4,-24.4,24.8,-24.0,-23.8,25.4,-0.33647860958910136,499.69
16,25.4,-23.8,-24.0,24.8,-24.4,24.4,-24.8,24.0,23.8,-25.4,-0.33647861994923417,499.69
17,-25.4,23.8,24.0,-24.8,24.4,-24.4,24.8,-24.0,-23.8,25.4,-0.3364786205982584,499.69
18,25.4,-23.8,-24.0,24.8,-24.4,24.4,-24.8,24.0,23.8,-25.4,-0.3364786678845501,499.69
19,-25.4,23.8,24.0,-24.8,24.4,-24.4,24.8,-24.0,-23.8,25.4,-0.3364786753588006,499.69
