,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,poisson_rate,total_time
0,-23.0,26.1,26.1,-23.0,-23.0,-23.0,26.1,26.1,-23.0,26.1,-23.0,-0.33505791993439105,573.56
1,23.0,-26.1,23.0,23.0,-26.1,-26.1,-26.1,23.0,23.0,-26.1,23.0,-0.33505792076187324,573.56
2,-23.0,26.1,26.1,-23.0,-23.0,26.1,-23.0,26.1,-23.0,-23.0,26.1,-0.33505792124430644,573.56
3,-23.0,26.1,-23.0,26.1,26.1,-23.0,-23.0,26.1,-23.0,-23.0,26.1,-0.3350579218261761,573.56
4,-23.0,26.1,-23.0,26.1,-23.0,26.1,26.1,-23.0,-23.0,-23.0,26.1,-0.3350579256406507,573.56
5,-23.0,26.1,-23.0,26.1,-23.0,26.1,-23.0,26.1,-23.0,26.1,-23.0,-0.3350579257040826,573.56
6,-26.1,23.0,23.0,-26.1,-26.1,23.0,23.0,23.0,-26.1,23.0,-26.1,-0.3350579259933589,573.56
7,-26.1,23.0,-26.1,23.0,23.0,23.0,-26.1,23.0,-26.1,-26.1,23.0,-0.33505792599773726,573.56
8,26.1,26.1,-23.0,-23.0,-23.0,-23.0,-23.0,26.1,26.1,26.1,-23.0,-0.3350579265859597,573.56
9,26.1,26.1,-23.0,-23.0,-23.0,26.1,-23.0,-23.0,-23.0,26.1,26.1,-0.33505793067674233,573.56
10,23.0,-26.1,-26.1,-26.1,23.0,23.0,23.0,23.0,23.0,-26.1,-26.1,-0.3350579322693264,573.56
11,23.0,-26.1,23.0,23.0,-26.1,-26.1,-26.1,23.0,23.0,-26.1,23.0,-0.33505793308227466,573.56
12,-23.0,26.1,26.1,-23.0,-23.0,26.1,-23.0,-23.0,26.1,26.1,-23.0,-0.33505793308271276,573.56
13,-23.0,26.1,26.1,-23.0,-23.0,-23.0,26.1,26.1,-23.0,26.1,-23.0,-0.3350579346865079,573.56
14,26.1,26.1,-23.0,-23.0,-23.0,-23.0,-23.0,26.1,26.1,26.1,-23.0,-0.33505793506622644,573.56
15,-23.0,26.1,-23.0,26.1,-23.0,-23.0,26.1,26.1,26.1,-23.0,-23.0,-0.33505793515076826,573.56
16,-26.1,-26.1,23.0,23.0,23.0,-26.1,23.0,23.0,23.0,-26.1,-26.1,-0.3350579360124502,573.56
17,-23.0,26.1,-23.0,26.1,26.1,-23.0,-23.0,26.1,-23.0,-23.0,26.1,-0.3350579368092103,573.56
18,-26.1,23.0,-26.1,23.0,23.0,23.0,-26.1,23.0,-26.1,-26.1,23.0,-0.33505793737690376,573.56
19,-26.1,-26.1,23.0,23.0,23.0,-26.1,23.0,23.0,23.0,-26.1,-26.1,-0.3350579375768898,573.56
