,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,poisson_rate,total_time
0,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,-0.33672623710485555,630.0
1,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,24.5,-24.5,-0.3367262423791355,630.0
2,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.3367262452818222,630.0
3,24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-0.33672624745796453,630.0
4,24.5,-24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.3367262485432307,630.0
5,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.3367262486421102,630.0
6,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-0.33672624910807875,630.0
7,-24.5,24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,-0.3367262508262717,630.0
8,-24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-0.33672625619817326,630.0
9,24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,-0.3367262581724121,630.0
10,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-0.33672625895383934,630.0
11,-24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-0.33672626161729463,630.0
12,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-0.33672626166810626,630.0
13,-24.5,-24.5,24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-0.3367262624694292,630.0
14,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,-0.3367262667319319,630.0
15,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-0.3367262768218615,630.0
16,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.3367262786643055,630.0
17,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,-0.3367262804720352,630.0
18,24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,-0.3367262808605692,630.0
19,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-0.33672628107577,630.0
