,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,poisson_rate,total_time
0,-25.9,23.3,23.3,-25.9,23.3,-25.9,23.3,-25.9,23.2,-25.9,23.2,23.2,-25.9,-0.33553343747359227,687.69
1,25.9,-23.2,25.9,-23.2,-23.2,-23.2,-23.2,25.9,25.9,25.9,25.9,-23.2,-23.2,-0.3355334423705122,687.69
2,-25.9,23.3,23.3,23.3,-25.9,-25.9,23.3,-25.9,23.3,-25.9,23.3,-25.9,23.3,-0.3355334427876293,687.69
3,-25.9,23.2,23.2,-25.9,-25.9,23.2,-25.9,23.2,23.3,23.3,23.3,-25.9,-25.9,-0.33553344377346617,687.69
4,25.9,-23.2,-23.2,-23.3,25.9,25.9,25.9,-23.3,-23.2,25.9,-23.3,-23.3,25.9,-0.335533444262787,687.69
5,-23.2,25.9,-23.2,25.9,-23.3,25.9,-23.3,25.9,25.9,-23.3,-23.3,-23.3,25.9,-0.33553344736297835,687.69
6,-23.2,-23.2,25.9,25.9,-23.3,25.9,25.9,-23.3,25.9,-23.3,-23.3,-23.3,25.9,-0.33553345086985736,687.69
7,23.2,-25.9,-25.9,-25.9,23.2,23.2,23.2,-25.9,23.3,23.3,23.3,-25.9,-25.9,-0.3355334555811111,687.69
8,23.3,23.3,-25.9,-25.9,23.3,-25.9,23.2,-25.9,-25.9,23.3,23.3,-25.9,23.3,-0.33553345645993826,687.69
9,25.9,-23.3,-23.3,25.9,25.9,-23.3,-23.3,-23.3,25.9,25.9,-23.3,-23.3,25.9,-0.33553345821305275,687.69
10,23.3,-25.9,23.2,-25.9,-25.9,23.2,23.3,-25.9,23.3,-25.9,23.3,23.2,-25.9,-0.3355334636368753,687.69
11,-23.3,25.9,25.9,-23.3,-23.3,-23.3,25.9,25.9,25.9,-23.3,-23.3,-23.3,25.9,-0.3355334637546115,687.69
12,23.3,-25.9,23.3,-25.9,23.2,23.2,-25.9,-25.9,-25.9,23.2,23.3,-25.9,23.2,-0.3355334666491365,687.69
13,25.9,-23.3,25.9,-23.3,-23.3,25.9,-23.2,-23.3,25.9,-23.2,25.9,25.9,-23.2,-0.3355334668973931,687.69
14,23.3,-25.9,23.3,-25.9,23.3,23.3,-25.9,-25.9,23.3,-25.9,-25.9,23.3,23.3,-0.3355334680537878,687.69
15,23.3,-25.9,23.3,-25.9,-25.9,23.3,23.3,23.3,-25.9,-25.9,23.3,-25.9,23.3,-0.33553347054121696,687.69
16,23.3,-25.9,-25.9,23.3,23.3,-25.9,23.3,-25.9,23.3,-25.9,23.3,23.3,-25.9,-0.33553347079325957,687.69
17,-25.9,23.3,-25.9,23.3,23.3,23.3,23.3,-25.9,-25.9,-25.9,-25.9,23.3,23.2,-0.3355334719325363,687.69
18,25.9,-23.3,-23.3,-23.3,25.9,25.9,-23.3,-23.2,25.9,25.9,25.9,-23.3,-23.3,-0.3355334723998265,687.69
19,23.3,-25.9,-25.9,23.3,-25.9,23.3,23.3,23.3,-25.9,23.2,-25.9,-25.9,23.3,-0.33553347289205315,687.69
