,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,poisson_rate,total_time
0,-24.1,24.9,24.8,24.8,-24.4,-24.4,-24.5,-24.6,24.4,24.4,-24.8,24.2,24.1,-25.0,-0.3366620176569478,754.59
1,-25.0,24.2,24.2,-24.8,24.4,-24.6,24.5,-24.5,24.7,-24.3,-24.2,24.9,-24.1,25.0,-0.33666205430841356,754.59
2,-24.1,25.0,-24.2,24.8,24.7,-24.4,-24.5,24.5,24.4,-24.7,24.3,-24.9,-24.9,24.0,-0.33666206245625746,754.59
3,-25.0,24.2,-24.9,24.3,24.4,24.4,-24.6,24.6,-24.4,-24.3,-24.3,-24.2,24.9,25.0,-0.3366620662212709,754.59
4,-24.1,24.9,-24.2,24.8,24.7,-24.4,24.6,-24.6,-24.6,24.3,-24.8,24.2,24.1,-25.0,-0.3366620981978955,754.59
5,-24.1,25.0,24.9,-24.3,-24.3,24.6,-24.5,24.5,24.4,-24.7,-24.8,24.2,24.1,-25.0,-0.3366621128330714,754.59
6,24.0,-24.9,24.2,-24.8,-24.7,-24.7,24.5,24.6,24.6,-24.4,24.8,-24.2,24.9,-24.1,-0.33666220194418794,754.59
7,-24.1,24.9,24.8,-24.3,-24.4,24.6,24.5,-24.6,-24.7,24.3,24.3,-24.9,-24.9,24.0,-0.33666225242154146,754.59
8,24.0,-24.9,-24.9,24.3,24.3,-24.6,-24.6,24.6,-24.4,24.7,24.8,-24.2,24.9,-24.1,-0.336662255325758,754.59
9,-25.0,24.1,24.2,-24.8,24.3,-24.6,24.5,-24.5,-24.4,24.7,-24.3,24.9,25.0,-24.0,-0.33666226664818466,754.59
10,24.1,-25.0,24.2,-24.8,24.4,-24.6,-24.6,-24.5,24.6,24.7,24.8,-24.2,24.9,-24.0,-0.3366622713656822,754.59
11,-25.0,24.1,24.2,-24.8,24.3,-24.6,-24.6,24.6,24.7,-24.4,-24.3,24.9,25.0,-24.1,-0.33666234381848786,754.59
12,24.0,-24.9,-24.9,24.3,24.3,-24.6,-24.6,24.6,24.6,-24.4,-24.3,24.9,24.9,-24.1,-0.33666238935539783,754.59
13,25.0,-24.1,-24.2,24.8,24.7,-24.4,-24.5,-24.6,24.4,24.3,24.3,-24.9,24.1,-25.0,-0.336662453380917,754.59
14,25.0,-24.1,-24.2,24.8,24.7,-24.4,-24.5,24.5,-24.6,24.3,-24.8,24.2,24.1,-25.0,-0.3366624828114996,754.59
15,-25.0,24.1,24.2,24.3,-24.7,-24.6,-24.6,-24.5,24.6,24.7,24.8,-24.2,24.9,-24.0,-0.33666249844610713,754.59
16,-25.0,24.1,-24.9,24.3,24.3,24.4,-24.6,-24.5,24.6,-24.3,-24.3,24.9,-24.1,25.0,-0.3366625492119823,754.59
17,-25.0,24.1,24.2,-24.8,24.4,-24.6,-24.6,24.6,24.7,-24.3,24.8,-24.2,-24.1,25.0,-0.3366625648282825,754.59
18,-25.0,24.1,-24.9,24.3,24.4,24.4,-24.6,-24.5,24.6,-24.3,-24.3,24.9,-24.1,25.0,-0.3366626061843555,754.59
19,-25.0,24.1,-24.9,24.3,24.3,24.4,-24.6,-24.5,24.6,-24.3,-24.3,24.9,-24.1,25.0,-0.3366626260888944,754.59
