,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,poisson_rate,total_time
0,25.7,-23.4,25.7,-23.4,-23.4,25.7,-23.4,-23.4,25.7,25.7,-23.4,25.7,-23.4,-23.4,25.7,-0.3358310815200406,835.88
1,-23.4,25.7,25.7,25.7,25.7,-23.4,-23.4,-23.4,-23.4,-23.4,-23.4,-23.4,25.7,25.7,25.7,-0.33583108482148566,835.88
2,-23.4,-23.4,-23.4,25.7,25.7,25.7,25.7,25.7,-23.4,-23.4,-23.4,25.7,-23.4,25.7,-23.4,-0.3358310855351951,835.88
3,23.4,23.4,23.4,23.4,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,23.4,23.4,23.4,23.4,-0.3358310910733542,835.88
4,25.7,25.7,-23.4,-23.4,-23.4,25.7,-23.4,25.7,-23.4,-23.4,-23.4,25.7,25.7,25.7,-23.4,-0.33583109568013286,835.88
5,23.4,-25.7,23.4,-25.7,23.4,23.4,-25.7,-25.7,23.4,-25.7,23.4,-25.7,-25.7,23.4,23.4,-0.3358310996819354,835.88
6,-23.4,-23.4,-23.4,25.7,25.7,25.7,25.7,-23.4,25.7,-23.4,-23.4,25.7,25.7,-23.4,-23.4,-0.3358311004627668,835.88
7,23.4,23.4,-25.7,-25.7,23.4,-25.7,-25.7,-25.7,23.4,23.4,23.4,23.4,-25.7,23.4,-25.7,-0.3358311014268012,835.88
8,25.7,-23.4,25.7,-23.4,-23.4,-23.4,-23.4,25.7,25.7,25.7,25.7,-23.4,-23.4,25.7,-23.4,-0.3358311024536775,835.88
9,-25.7,-25.7,23.4,23.4,23.4,-25.7,-25.7,23.4,23.4,23.4,23.4,-25.7,-25.7,23.4,-25.7,-0.33583110475959504,835.88
10,25.7,-23.4,25.7,25.7,-23.4,-23.4,-23.4,25.7,-23.4,-23.4,-23.4,25.7,25.7,-23.4,25.7,-0.33583112430588574,835.88
11,23.4,-25.7,-25.7,23.4,-25.7,23.4,23.4,23.4,-25.7,-25.7,23.4,-25.7,23.4,23.4,-25.7,-0.3358311301408056,835.88
12,25.7,-23.4,-23.4,25.7,-23.4,25.7,-23.4,-23.4,25.7,-23.4,25.7,25.7,25.7,-23.4,-23.4,-0.33583113215582444,835.88
13,25.7,-23.4,-23.4,-23.4,25.7,-23.4,-23.4,25.7,25.7,25.7,25.7,25.7,-23.4,-23.4,-23.4,-0.3358311322023478,835.88
14,23.4,-25.7,23.4,-25.7,23.4,23.4,-25.7,23.4,-25.7,-25.7,-25.7,23.4,-25.7,23.4,23.4,-0.33583113238686546,835.88
15,-25.7,-25.7,23.4,23.4,23.4,23.4,-25.7,23.4,-25.7,23.4,-25.7,-25.7,23.4,-25.7,23.4,-0.3358311354636132,835.88
16,-25.7,23.4,-25.7,23.4,23.4,23.4,-25.7,23.4,-25.7,-25.7,-25.7,23.4,23.4,23.4,-25.7,-0.3358311378491634,835.88
17,25.7,-23.4,25.7,-23.4,-23.4,-23.4,25.7,25.7,-23.4,25.7,-23.4,-23.4,25.7,25.7,-23.4,-0.33583114231254924,835.88
18,-23.4,25.7,-23.4,-23.4,25.7,25.7,25.7,-23.4,-23.4,25.7,25.7,-23.4,-23.4,-23.4,25.7,-0.3358311424866879,835.88
19,23.4,23.4,-25.7,-25.7,-25.7,23.4,-25.7,23.4,23.4,-25.7,23.4,-25.7,23.4,23.4,-25.7,-0.3358311457857027,835.88
