,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,poisson_rate,total_time
0,24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.6,-24.5,24.5,-0.3367261383330488,908.99
1,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.3367261472446299,908.99
2,-24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,-0.33672616536933836,908.99
3,24.5,24.5,-24.5,-24.6,24.5,-24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-0.33672616688158796,908.99
4,24.5,24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-0.33672616830624175,908.99
5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-0.3367261737250809,908.99
6,24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-0.3367261740372444,908.99
7,-24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,-0.33672617912727887,908.99
8,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-0.33672619343016663,908.99
9,-24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-0.3367262073019123,908.99
10,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-0.3367262121676493,908.99
11,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,-0.33672622410771774,908.99
12,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.336726234564747,908.99
13,24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-0.3367262449103452,908.99
14,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.33672625346094054,908.99
15,24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,-0.33672625688500274,908.99
16,24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,-0.33672627938449873,908.99
17,-24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-0.33672628073556393,908.99
18,-24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.3367262832706638,908.99
19,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-0.33672628332431204,908.99
