,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,poisson_rate,total_time
0,-25.5,23.6,23.6,-25.5,23.6,-25.5,-25.5,23.5,-25.5,23.5,23.5,-25.6,23.5,23.5,23.5,-25.6,-25.6,-0.3360296154342047,935.57
1,23.6,23.6,-25.5,23.6,23.6,-25.5,-25.5,-25.5,-25.5,-25.5,23.6,-25.5,23.5,23.5,23.6,23.5,-25.5,-0.33602962176279677,935.57
2,-23.6,25.5,25.5,-23.6,-23.6,25.5,25.5,-23.6,-23.6,25.5,-23.6,-23.6,25.5,25.5,-23.5,-23.5,25.6,-0.33602962838454437,935.57
3,-23.5,-23.5,25.6,25.6,25.5,25.5,-23.5,25.5,-23.6,-23.5,-23.6,-23.5,-23.5,25.6,25.5,-23.6,25.5,-0.3360296337317528,935.57
4,23.6,23.6,23.6,-25.5,-25.5,-25.5,-25.5,-25.5,23.6,23.6,-25.5,23.6,23.6,-25.5,23.6,23.6,-25.5,-0.3360296397121017,935.57
5,23.5,23.5,-25.6,-25.6,23.5,23.5,23.5,-25.6,-25.5,-25.5,-25.6,-25.6,23.5,23.5,-25.5,23.5,23.5,-0.33602964327778967,935.57
6,-23.6,25.5,25.5,-23.6,25.6,25.5,-23.6,-23.5,-23.6,25.5,-23.5,-23.5,-23.6,25.5,25.5,-23.5,25.5,-0.33602964493352516,935.57
7,23.5,-25.5,-25.5,23.5,-25.5,-25.5,23.6,23.6,23.6,23.6,23.6,-25.5,-25.5,-25.5,23.6,23.6,-25.5,-0.3360296454428635,935.57
8,25.6,-23.5,25.6,-23.5,25.5,25.6,-23.5,-23.5,25.5,-23.6,-23.6,-23.6,-23.6,-23.6,25.5,25.5,25.5,-0.3360296650121909,935.57
9,23.6,23.6,-25.6,-25.5,23.5,-25.6,-25.5,23.6,23.6,-25.5,23.5,-25.5,23.6,-25.5,23.6,-25.5,23.6,-0.3360296670352152,935.57
10,23.5,-25.5,-25.6,23.5,23.5,23.5,23.6,-25.5,-25.6,23.5,-25.5,-25.6,-25.5,-25.5,23.5,23.6,23.6,-0.336029677399693,935.57
11,23.6,-25.5,23.6,23.6,23.5,-25.5,-25.5,-25.6,-25.5,-25.5,23.5,23.5,23.5,-25.6,23.5,-25.6,23.5,-0.33602969125290894,935.57
12,-23.5,-23.6,25.5,25.5,25.5,25.5,25.5,-23.5,-23.5,-23.5,-23.6,-23.6,-23.6,25.5,-23.6,25.5,25.5,-0.3360296927041651,935.57
13,-25.5,-25.5,-25.5,23.6,23.6,23.6,23.6,-25.5,23.6,-25.5,23.5,23.6,23.6,23.5,-25.5,-25.5,-25.5,-0.3360297021418756,935.57
14,-23.5,-23.5,-23.5,25.5,25.5,25.5,-23.6,25.5,-23.5,25.5,25.5,-23.5,25.5,-23.6,25.6,-23.6,-23.6,-0.3360297125450015,935.57
15,23.5,-25.5,23.5,-25.5,-25.5,-25.5,23.6,23.6,23.5,23.5,-25.5,23.6,-25.5,23.5,-25.5,-25.5,23.6,-0.336029713123181,935.57
16,-23.5,25.5,-23.5,25.5,-23.5,25.5,25.5,-23.5,-23.5,25.6,-23.5,-23.5,25.5,25.5,-23.5,25.5,-23.6,-0.3360297146972231,935.57
17,23.5,-25.5,23.6,23.5,-25.5,-25.5,23.5,-25.5,-25.5,-25.5,23.5,23.5,23.5,23.5,-25.5,23.5,-25.5,-0.3360297474154331,935.57
18,23.5,-25.5,-25.5,23.5,23.5,23.6,-25.5,23.5,-25.5,-25.5,-25.5,23.6,23.5,-25.5,23.5,-25.5,23.6,-0.33602975998348733,935.57
19,-23.5,25.5,-23.5,25.5,25.5,-23.5,-23.6,25.5,25.5,-23.6,-23.6,25.5,-23.6,-23.6,25.5,-23.6,25.5,-0.33602977424667924,935.57
