,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,poisson_rate,total_time
0,24.8,-24.3,24.8,-24.4,-24.4,-24.4,24.6,24.6,-24.5,24.5,-24.5,24.5,-24.6,24.4,24.4,24.3,-24.7,-24.8,-0.33670149817737094,711.28
1,-24.3,-24.3,24.7,24.7,24.7,24.7,-24.5,24.6,-24.5,-24.5,-24.5,-24.6,24.5,24.4,-24.7,24.4,24.4,-24.7,-0.3367016092923087,711.28
2,24.2,-24.9,24.3,-24.8,24.3,-24.7,-24.7,24.4,24.5,-24.5,-24.5,-24.4,24.7,24.7,24.7,-24.3,24.8,-24.2,-0.3367018001176302,711.28
3,-24.2,24.7,24.7,24.7,24.6,-24.4,-24.4,-24.5,-24.5,-24.6,-24.6,24.4,24.4,24.4,24.4,-24.8,-24.8,24.3,-0.3367018668222129,711.28
4,24.9,-24.2,24.8,-24.3,-24.3,24.7,-24.4,24.6,-24.5,24.5,24.5,-24.6,24.4,-24.7,-24.7,24.3,-24.8,24.2,-0.33670202940908966,711.28
5,24.8,-24.3,-24.3,-24.4,24.7,24.7,-24.5,24.6,24.5,24.5,-24.6,-24.6,-24.6,24.4,24.4,-24.7,-24.7,24.3,-0.3367021369950486,711.28
6,-24.8,24.3,24.3,-24.7,-24.7,24.4,-24.6,24.5,24.5,-24.5,-24.5,24.6,24.6,24.7,-24.4,-24.3,-24.3,24.8,-0.33670217084830184,711.28
7,-24.3,-24.3,24.8,24.7,24.7,-24.4,-24.5,24.6,-24.5,24.5,24.5,24.4,-24.6,-24.7,24.3,-24.7,-24.8,24.2,-0.33670233263640975,711.28
8,-24.8,-24.8,24.3,24.3,24.4,-24.7,24.4,-24.6,24.5,-24.5,24.6,-24.4,24.7,-24.4,-24.3,24.8,24.8,-24.2,-0.33670237950328646,711.28
9,-24.2,24.8,-24.3,24.8,24.7,-24.4,24.6,-24.5,-24.5,-24.6,24.5,24.4,24.4,-24.6,24.3,-24.7,24.2,-24.8,-0.33670238736748354,711.28
10,24.2,-24.8,-24.8,24.3,24.4,-24.6,-24.6,-24.6,24.5,24.6,24.6,-24.4,24.7,24.7,-24.3,-24.3,-24.3,24.9,-0.3367023932958213,711.28
11,-24.9,24.3,24.3,24.4,-24.7,24.4,-24.6,-24.6,-24.5,24.5,-24.5,-24.4,24.6,24.7,24.7,-24.3,-24.2,24.8,-0.33670245691818634,711.28
12,24.2,24.3,-24.7,-24.7,-24.7,24.4,-24.6,-24.6,24.5,24.6,-24.5,24.7,-24.4,24.7,24.8,24.8,-24.2,-24.2,-0.33670254864043386,711.28
13,-24.8,24.3,-24.8,24.3,24.4,24.4,-24.6,24.5,-24.6,-24.5,-24.5,24.6,24.7,-24.4,-24.4,-24.3,24.8,24.8,-0.33670257220566424,711.28
14,-24.2,24.8,24.8,24.7,-24.4,-24.4,-24.4,24.6,-24.5,-24.6,24.5,24.5,24.4,-24.7,-24.7,24.3,24.3,-24.8,-0.3367026826238448,711.28
15,24.2,24.3,-24.8,-24.7,24.4,-24.7,-24.6,-24.6,24.5,-24.5,24.6,24.6,24.7,24.7,-24.3,-24.3,-24.2,24.8,-0.33670279034468276,711.28
16,24.2,-24.8,24.3,-24.7,-24.7,24.4,-24.6,24.5,-24.6,24.5,-24.5,24.6,24.6,-24.4,24.7,-24.3,24.8,-24.2,-0.3367028664231106,711.28
17,-24.2,24.8,24.8,-24.3,24.7,-24.4,-24.4,24.6,-24.5,24.5,24.5,-24.6,24.4,-24.7,-24.7,24.3,-24.8,24.2,-0.33670288631948164,711.28
18,24.3,-24.8,-24.7,-24.7,24.4,24.4,24.4,-24.6,24.5,-24.5,24.6,24.6,-24.4,-24.4,-24.4,24.7,-24.3,24.8,-0.3367028875681895,711.28
19,-24.8,-24.8,24.3,24.3,24.4,24.4,24.4,-24.6,-24.6,-24.5,-24.5,24.6,24.6,-24.4,-24.3,-24.3,24.8,24.8,-0.336702990918847,711.28
