,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,poisson_rate,total_time
0,25.0,25.0,-24.1,-24.0,-24.0,-23.9,25.3,-23.8,25.4,25.4,-23.6,25.5,-23.4,25.7,25.7,-23.3,-23.2,-23.2,26.0,-0.3360933445108381,1002.54
1,-24.3,25.0,25.1,-24.1,25.2,25.2,-23.8,-23.8,-23.7,25.4,-23.6,25.5,-23.4,25.6,-23.3,-23.3,-23.2,25.9,25.9,-0.3360933844652898,1002.54
2,24.9,-24.1,-24.1,-24.0,25.1,25.2,25.2,-23.8,-23.7,25.4,25.5,-23.5,25.6,-23.4,-23.3,-23.3,25.9,-23.2,26.0,-0.33609338853849446,1002.54
3,26.0,25.9,-23.2,-23.3,-23.3,-23.4,25.6,-23.5,25.5,-23.6,-23.7,25.3,25.3,25.2,-24.0,25.1,25.0,-24.1,-24.2,-0.3360934132844853,1002.54
4,23.1,-25.9,23.2,-25.8,-25.8,23.4,-25.6,23.5,23.6,23.6,-25.4,-25.4,23.8,-25.2,23.9,24.0,-25.1,24.1,-25.0,-0.33609348937309474,1002.54
5,-26.0,23.2,-25.8,23.3,23.3,23.4,23.5,-25.5,-25.5,-25.4,-25.4,-25.3,23.9,23.9,24.0,24.0,24.1,-24.9,-24.9,-0.33609355726054796,1002.54
6,24.9,-24.2,25.0,-24.0,-24.0,-23.9,25.3,25.3,25.4,25.4,-23.6,-23.6,-23.5,-23.4,-23.3,25.8,25.9,25.9,-23.1,-0.33609356940659463,1002.54
7,-24.9,-25.0,24.1,24.0,23.9,-25.2,23.8,23.8,23.7,-25.4,-25.5,-25.5,23.5,-25.7,-25.7,23.3,23.2,-25.9,23.1,-0.3360935867190215,1002.54
8,23.1,-25.8,-25.8,23.3,23.4,-25.6,23.5,-25.5,23.6,-25.4,23.7,-25.3,-25.3,23.9,23.9,24.0,24.1,-25.0,-25.0,-0.33609359285203083,1002.54
9,-23.1,25.9,25.8,-23.3,-23.4,-23.4,25.6,25.5,25.5,-23.7,-23.7,25.3,-23.8,-23.9,25.1,-24.0,25.0,25.0,-24.2,-0.336093601741581,1002.54
10,25.9,-23.2,25.8,-23.3,-23.4,-23.4,25.6,25.6,-23.6,-23.7,25.4,-23.8,25.3,25.2,-23.9,25.1,-24.1,25.0,-24.2,-0.3360936048050129,1002.54
11,25.9,-23.1,25.8,-23.2,25.7,-23.4,-23.5,25.5,-23.6,-23.6,-23.7,25.3,25.3,25.2,-24.0,25.1,-24.1,-24.2,24.9,-0.3360936925943524,1002.54
12,23.1,23.2,-25.9,-25.8,-25.7,23.4,23.5,-25.6,-25.5,23.6,-25.4,23.8,23.8,-25.2,23.9,24.0,24.1,-24.9,-24.9,-0.33609376157772614,1002.54
13,24.2,-25.0,-25.0,24.0,24.0,-25.2,-25.2,23.8,-25.3,23.7,23.6,-25.5,23.5,-25.6,23.4,23.3,-25.8,23.2,-25.9,-0.3360937781987789,1002.54
14,23.1,-25.9,-25.8,23.3,-25.7,23.4,23.4,23.5,-25.5,-25.4,-25.4,23.8,23.8,23.9,-25.2,24.1,-25.0,24.2,-24.9,-0.33609378532374595,1002.54
15,-25.9,23.1,23.2,-25.7,-25.7,23.4,23.5,-25.6,-25.5,23.7,23.7,23.8,23.8,-25.2,-25.1,-25.1,24.1,24.2,-25.0,-0.3360937871261376,1002.54
16,25.9,-23.1,-23.2,25.8,-23.3,25.7,25.6,-23.5,-23.6,25.4,-23.7,25.3,-23.9,25.2,-24.0,-24.0,-24.1,25.0,24.9,-0.33609385334273184,1002.54
17,26.0,-23.1,25.8,25.8,-23.3,-23.4,-23.5,-23.5,-23.6,25.4,25.4,-23.8,-23.9,25.2,25.1,25.1,25.0,-24.2,-24.3,-0.33609390381246573,1002.54
18,23.1,-25.9,23.2,-25.8,-25.7,23.4,-25.6,23.5,23.6,-25.4,23.7,23.8,23.8,-25.2,-25.1,-25.1,24.1,-25.0,24.2,-0.3360939088812967,1002.54
19,26.0,-23.2,25.9,-23.3,-23.4,-23.4,25.6,25.5,-23.6,-23.7,25.4,-23.8,25.3,25.2,25.1,-24.0,-24.1,-24.1,24.9,-0.33609392319255293,1002.54
20,24.2,-25.0,24.1,24.0,-25.1,-25.2,-25.2,-25.3,-25.4,23.7,23.6,23.5,23.5,23.4,23.4,-25.7,-25.8,23.2,-25.9,-0.33609392691450685,1002.54
21,24.2,24.1,-25.0,-25.1,-25.1,-25.2,23.8,23.8,-25.4,23.7,-25.5,23.5,23.5,23.4,23.4,-25.8,-25.8,-25.9,23.1,-0.33609404399660403,1002.54
