,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,poisson_rate,total_time
0,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.6,24.6,-24.5,24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,-0.33672587393983894,1544.83
1,-24.6,-24.6,-24.6,24.5,24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,24.6,-24.5,-0.336725880657009,1544.83
2,-24.6,24.5,24.5,-24.6,24.5,-24.6,-24.6,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,-0.3367258971000438,1544.83
3,-24.6,24.5,24.5,24.5,-24.6,24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-0.33672591779942457,1544.83
4,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.6,24.6,-24.5,-24.5,24.6,-0.3367259896105832,1544.83
5,-24.5,24.5,-24.5,24.6,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,-0.3367260292266512,1544.83
6,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-0.33672603302901427,1544.83
7,-24.5,24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.6,24.5,-0.33672605262987226,1544.83
8,24.6,-24.5,-24.5,-24.5,-24.5,24.6,24.6,24.6,24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-0.33672605453959986,1544.83
9,-24.5,-24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.6,-0.3367260553788724,1544.83
10,24.6,-24.5,-24.5,-24.5,24.5,-24.5,24.6,-24.5,24.5,24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-0.33672606253306653,1544.83
11,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,24.6,24.5,-24.5,-24.6,-24.5,-24.5,24.5,24.5,-0.336726083106903,1544.83
12,24.5,24.5,-24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,-24.6,24.5,-24.5,-0.33672614121415734,1544.83
13,-24.5,-24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,24.5,-0.33672615169251996,1544.83
14,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,24.5,-0.3367261581186778,1544.83
15,-24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,-0.3367261675218183,1544.83
16,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,-0.33672623009252267,1544.83
17,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.3367262313910767,1544.83
18,24.5,24.5,-24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-0.33672623640252974,1544.83
19,24.5,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,24.5,-24.5,24.5,-0.33672627250760556,1544.83
