,theta_1,theta_2,poisson_rate,total_time
0,28.2,-28.2,0.050919635253507824,5.18
1,28.2,-28.2,0.05091963519279824,5.18
2,-28.2,28.2,0.05091963480107496,5.18
3,-28.2,28.2,0.05091963478661096,5.18
4,-28.2,28.2,0.05091963468747601,5.18
5,-28.2,28.2,0.0509196346812203,5.18
6,28.2,-28.2,0.05091963467546208,5.18
7,28.2,-28.2,0.050919634649723156,5.18
8,-28.2,28.2,0.05091963463929189,5.18
9,28.2,-28.2,0.05091963460488562,5.18
10,-28.2,28.2,0.05091963449532812,5.18
11,-28.2,28.2,0.05091963438777853,5.18
12,-28.2,28.2,0.05091963436400417,5.18
13,-28.2,28.2,0.05091963427397555,5.18
14,-28.2,28.2,0.05091963422129527,5.18
15,28.2,-28.2,0.05091963418121496,5.18
16,-28.2,28.2,0.05091963415584939,5.18
17,-28.2,28.2,0.0509196341473911,5.18
18,-28.2,28.2,0.050919634138492195,5.18
19,28.2,-28.2,0.050919634128608365,5.18
