,theta_1,theta_2,theta_3,poisson_rate,total_time
0,-19.3,30.7,-19.3,-0.3128118050679569,5.71
1,-19.3,30.7,-19.3,-0.3128118050712098,5.71
2,-19.3,30.7,-19.3,-0.3128118050730439,5.71
3,-19.3,30.7,-19.3,-0.31281180509028556,5.71
4,-19.3,30.7,-19.3,-0.3128118050907563,5.71
5,-19.3,30.7,-19.3,-0.3128118051003766,5.71
6,19.3,-30.7,19.3,-0.3128118051059763,5.71
7,-19.3,30.7,-19.3,-0.31281180511022505,5.71
8,19.3,-30.7,19.3,-0.31281180511057366,5.71
9,19.3,-30.7,19.3,-0.31281180511155243,5.71
10,19.3,-30.7,19.3,-0.3128118051180246,5.71
11,19.3,-30.7,19.3,-0.312811805119073,5.71
12,-19.3,30.7,-19.3,-0.3128118051193299,5.71
13,-19.3,30.7,-19.3,-0.3128118051208674,5.71
14,-19.3,30.7,-19.3,-0.31281180512260404,5.71
15,-19.3,30.7,-19.3,-0.31281180512684514,5.71
16,19.3,-30.7,19.3,-0.3128118051270806,5.71
17,19.3,-30.7,19.3,-0.31281180512716766,5.71
18,19.3,-30.7,19.3,-0.312811805127826,5.71
19,19.3,-30.7,19.3,-0.3128118051288056,5.71
