,theta_1,theta_2,theta_3,theta_4,poisson_rate,total_time
0,24.5,-24.5,-24.5,24.5,-0.33672628493659423,8.14
1,-24.5,24.5,24.5,-24.5,-0.33672628501952767,8.14
2,-24.5,24.5,24.5,-24.5,-0.33672628520409553,8.14
3,-24.5,24.5,24.5,-24.5,-0.33672628532773335,8.14
4,-24.5,24.5,24.5,-24.5,-0.3367262854966511,8.14
5,24.5,-24.5,-24.5,24.5,-0.3367262856455804,8.14
6,24.5,-24.5,-24.5,24.5,-0.33672628585650405,8.14
7,-24.5,24.5,24.5,-24.5,-0.3367262858926401,8.14
8,24.5,-24.5,-24.5,24.5,-0.33672628590612724,8.14
9,24.5,-24.5,-24.5,24.5,-0.33672628593983533,8.14
10,24.5,-24.5,-24.5,24.5,-0.33672628597984516,8.14
11,24.5,-24.5,-24.5,24.5,-0.33672628598043347,8.14
12,24.5,-24.5,-24.5,24.5,-0.33672628606476546,8.14
13,-24.5,24.5,24.5,-24.5,-0.3367262860655672,8.14
14,-24.5,24.5,24.5,-24.5,-0.3367262860770528,8.14
15,-24.5,24.5,24.5,-24.5,-0.3367262861255202,8.14
16,24.5,-24.5,-24.5,24.5,-0.3367262861259269,8.14
17,-24.5,24.5,24.5,-24.5,-0.3367262861370607,8.14
18,-24.5,24.5,24.5,-24.5,-0.33672628615559763,8.14
19,-24.5,24.5,24.5,-24.5,-0.33672628618855677,8.14
