,theta_1,theta_2,theta_3,theta_4,theta_5,poisson_rate,total_time
0,-21.3,28.1,-21.3,28.1,-21.3,-0.3284938760442368,10.28
1,28.1,-21.3,-21.3,-21.3,28.1,-0.32849387637351274,10.28
2,28.1,-21.3,-21.3,-21.3,28.1,-0.3284938764594515,10.28
3,21.3,-28.1,21.3,-28.1,21.3,-0.3284938770678051,10.28
4,-21.3,28.1,-21.3,28.1,-21.3,-0.3284938772403082,10.28
5,21.3,-28.1,21.3,-28.1,21.3,-0.32849387724669143,10.28
6,28.1,-21.3,-21.3,-21.3,28.1,-0.32849387725304796,10.28
7,-28.1,21.3,21.3,21.3,-28.1,-0.3284938773411054,10.28
8,21.3,-28.1,21.3,-28.1,21.3,-0.3284938773535616,10.28
9,-28.1,21.3,21.3,21.3,-28.1,-0.32849387759069615,10.28
10,21.3,-28.1,21.3,-28.1,21.3,-0.32849387759652865,10.28
11,-21.3,28.1,-21.3,28.1,-21.3,-0.3284938776060716,10.28
12,-21.3,28.1,-21.3,28.1,-21.3,-0.328493877609499,10.28
13,-21.3,28.1,-21.3,28.1,-21.3,-0.3284938776315422,10.28
14,-21.3,28.1,-21.3,28.1,-21.3,-0.32849387787268425,10.28
15,28.1,-21.3,-21.3,-21.3,28.1,-0.32849387806571856,10.28
16,-21.3,28.1,-21.3,28.1,-21.3,-0.3284938781191679,10.28
17,21.3,-28.1,21.3,-28.1,21.3,-0.3284938784302062,10.28
18,-21.3,28.1,-21.3,28.1,-21.3,-0.3284938784957017,10.28
19,-21.3,28.1,-21.3,28.1,-21.3,-0.3284938785202669,10.28
