,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,poisson_rate,total_time
0,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.33467275066387336,110.78
1,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.3346727507600659,110.78
2,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.3346727515884894,110.78
3,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.3346727516787425,110.78
4,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467275400614505,110.78
5,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467275437557437,110.78
6,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.3346727547805995,110.78
7,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467275582406325,110.78
8,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.3346727558242294,110.78
9,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467275584624967,110.78
10,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.33467275837281063,110.78
11,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.3346727585554633,110.78
12,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.3346727588168567,110.78
13,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467275935161767,110.78
14,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467276023378423,110.78
15,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467276128568285,110.78
16,-22.3,25.9,25.0,-25.0,-25.9,22.3,-0.33467276167760746,110.78
17,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.33467276256991335,110.78
18,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.33467276351350217,110.78
19,22.3,-25.9,-25.0,25.0,25.9,-22.3,-0.33467276365170767,110.78
