,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,poisson_rate,total_time
0,27.0,-22.2,-22.2,-22.2,27.0,27.0,-22.2,-0.3325760854397262,251.11
1,-27.0,22.2,22.2,-27.0,22.2,22.2,-27.0,-0.33257608566975405,251.11
2,27.0,-22.2,-22.2,27.0,-22.2,-22.2,27.0,-0.33257608613561374,251.11
3,27.0,-22.2,-22.2,-22.2,27.0,27.0,-22.2,-0.33257608625156854,251.11
4,27.0,-22.2,-22.2,27.0,-22.2,-22.2,27.0,-0.33257608659618293,251.11
5,27.0,-22.2,-22.2,-22.2,27.0,27.0,-22.2,-0.33257608660274496,251.11
6,-22.2,27.0,27.0,-22.2,-22.2,-22.2,27.0,-0.3325760868782841,251.11
7,-22.2,-22.2,27.0,27.0,27.0,-22.2,-22.2,-0.3325760869558226,251.11
8,-27.0,22.2,22.2,22.2,-27.0,-27.0,22.2,-0.3325760871527088,251.11
9,-27.0,22.2,22.2,-27.0,22.2,22.2,-27.0,-0.33257608738594613,251.11
10,22.2,-27.0,-27.0,22.2,22.2,22.2,-27.0,-0.33257608743873285,251.11
11,22.2,22.2,-27.0,-27.0,-27.0,22.2,22.2,-0.3325760874615958,251.11
12,27.0,-22.2,-22.2,27.0,-22.2,-22.2,27.0,-0.3325760874935158,251.11
13,-27.0,22.2,22.2,-27.0,22.2,22.2,-27.0,-0.3325760876787716,251.11
14,-27.0,22.2,22.2,-27.0,22.2,22.2,-27.0,-0.3325760877073458,251.11
15,-27.0,22.2,22.2,-27.0,22.2,22.2,-27.0,-0.332576087880158,251.11
16,22.2,22.2,-27.0,-27.0,-27.0,22.2,22.2,-0.3325760879755854,251.11
17,22.2,22.2,-27.0,-27.0,-27.0,22.2,22.2,-0.3325760882863545,251.11
18,27.0,-22.2,-22.2,27.0,-22.2,-22.2,27.0,-0.3325760883268496,251.11
19,22.2,22.2,-27.0,-27.0,-27.0,22.2,22.2,-0.3325760886242879,251.11
