,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,poisson_rate,total_time
0,24.5,-24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,-0.33672627919262116,428.34
1,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.3367262792552204,428.34
2,24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,-0.33672627939336214,428.34
3,24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,-0.336726280047501,428.34
4,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.3367262806121813,428.34
5,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.33672628159392054,428.34
6,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.33672628161417417,428.34
7,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-0.3367262816851675,428.34
8,24.5,-24.5,-24.5,24.5,-24.5,24.5,24.5,-24.5,-0.3367262820235024,428.34
9,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.3367262821533034,428.34
10,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.33672628243896624,428.34
11,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.3367262826952838,428.34
12,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.3367262827021009,428.34
13,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.3367262830724991,428.34
14,-24.5,24.5,-24.5,24.5,24.5,-24.5,24.5,-24.5,-0.3367262840368765,428.34
15,24.5,24.5,-24.5,-24.5,-24.5,-24.5,24.5,24.5,-0.33672628422306283,428.34
16,-24.5,24.5,24.5,-24.5,-24.5,24.5,24.5,-24.5,-0.336726284745035,428.34
17,24.5,-24.5,-24.5,24.5,24.5,-24.5,-24.5,24.5,-0.3367262847954793,428.34
18,-24.5,-24.5,24.5,24.5,24.5,24.5,-24.5,-24.5,-0.3367262848805426,428.34
19,-24.5,24.5,24.5,-24.5,24.5,-24.5,-24.5,24.5,-0.33672628525512976,428.34
