,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,poisson_rate,total_time
0,22.7,22.7,-26.5,-26.5,-26.5,22.7,22.7,-26.5,22.7,-0.3342279049624859,452.9
1,22.7,-26.5,22.7,-26.5,22.7,-26.5,22.7,-26.5,22.7,-0.3342279049752574,452.9
2,-22.7,26.5,-22.7,-22.7,26.5,26.5,26.5,-22.7,-22.7,-0.33422790497850113,452.9
3,-26.5,-26.5,22.7,22.7,22.7,22.7,22.7,-26.5,-26.5,-0.3342279059756347,452.9
4,-22.7,26.5,-22.7,26.5,26.5,-22.7,-22.7,-22.7,26.5,-0.33422790612055797,452.9
5,-26.5,22.7,22.7,-26.5,22.7,22.7,-26.5,-26.5,22.7,-0.3342279062070737,452.9
6,26.5,-22.7,-22.7,-22.7,26.5,26.5,-22.7,26.5,-22.7,-0.3342279067488404,452.9
7,22.7,-26.5,22.7,-26.5,-26.5,22.7,22.7,22.7,-26.5,-0.33422790682127784,452.9
8,-26.5,-26.5,22.7,22.7,22.7,22.7,22.7,-26.5,-26.5,-0.33422790756799564,452.9
9,22.7,-26.5,-26.5,22.7,22.7,22.7,-26.5,-26.5,22.7,-0.3342279086497991,452.9
10,-26.5,-26.5,22.7,22.7,22.7,22.7,22.7,-26.5,-26.5,-0.3342279091752788,452.9
11,-22.7,26.5,26.5,-22.7,-22.7,-22.7,26.5,26.5,-22.7,-0.3342279104006036,452.9
12,22.7,22.7,-26.5,-26.5,-26.5,22.7,22.7,-26.5,22.7,-0.3342279106707487,452.9
13,-22.7,26.5,-22.7,-22.7,26.5,26.5,26.5,-22.7,-22.7,-0.3342279108600152,452.9
14,26.5,26.5,-22.7,-22.7,-22.7,-22.7,-22.7,26.5,26.5,-0.33422791157500453,452.9
15,26.5,26.5,-22.7,-22.7,-22.7,-22.7,-22.7,26.5,26.5,-0.3342279121358281,452.9
16,-22.7,26.5,26.5,-22.7,-22.7,26.5,-22.7,-22.7,26.5,-0.33422791243632755,452.9
17,-22.7,26.5,-22.7,26.5,26.5,-22.7,-22.7,-22.7,26.5,-0.3342279130406392,452.9
18,26.5,-22.7,-22.7,-22.7,26.5,26.5,-22.7,26.5,-22.7,-0.3342279130572738,452.9
19,22.7,-26.5,-26.5,22.7,22.7,22.7,-26.5,-26.5,22.7,-0.3342279138954541,452.9
